what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1519984128843
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1519984128854
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1519984128865
started,bundle,org.eclipse.team.svn.core,2.0.4.I20150123-1700,"org.eclipse.team.svn.core",1519984128877
started,bundle,org.eclipse.team.svn.mylyn,2.0.3.I20141224-1700,"org.eclipse.team.svn.mylyn",1519984128888
started,bundle,org.eclipse.team.svn.ui.startup,2.0.3.I20141224-1700,"org.eclipse.team.svn.ui.startup",1519984128899
os,sysinfo,,,"win32",1519984128911
arch,sysinfo,,,"x86_64",1519984128911
ws,sysinfo,,,"win32",1519984128911
locale,sysinfo,,,"en_US",1519984128911
processors,sysinfo,,,"2",1519984128911
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1519984128911
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1519984128911
java.specification.name,sysinfo,,,"Java Platform API Specification",1519984128911
java.specification.vendor,sysinfo,,,"Oracle Corporation",1519984128911
java.specification.version,sysinfo,,,"1.7",1519984128911
java.vendor,sysinfo,,,"Oracle Corporation",1519984128911
java.version,sysinfo,,,"1.7.0_13",1519984128911
java.vm.info,sysinfo,,,"mixed mode",1519984128911
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1519984128911
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1519984128911
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1519984128911
java.vm.specification.version,sysinfo,,,"1.7",1519984128911
java.vm.vendor,sysinfo,,,"Oracle Corporation",1519984128911
java.vm.version,sysinfo,,,"23.7-b01",1519984128911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519984150789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519984151872
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519984151981
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1519984153443
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1519984153503
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1519984154378
